"МО (КОД)","МО (НАИМЕН.)","СМО (код)","СМО (наим.)","Кол-во счетов","Сумма"
"07014","ГБУЗ ""Детская городская поликлиника № 7 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 370","191 577,44"
"07014","ГБУЗ ""Детская городская поликлиника № 7 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","170","18 819,18"
"07014","ГБУЗ ""Детская городская поликлиника № 7 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","282","41 749,90"
"07015","ГБУЗ ""Детская городская поликлиника № 8 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","14 556","1 375 261,60"
"07015","ГБУЗ ""Детская городская поликлиника № 8 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 746","94 367,64"
"07015","ГБУЗ ""Детская городская поликлиника № 8 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","218","26 920,68"
"07015","ГБУЗ ""Детская городская поликлиника № 8 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","882","27 290,16"
"07038","ГБУЗ ""Стоматологическая поликлиника №3"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 592","2 654 325,06"
"07038","ГБУЗ ""Стоматологическая поликлиника №3"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","794","1 082 349,48"
"07038","ГБУЗ ""Стоматологическая поликлиника №3"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","244","282 056,12"
"07038","ГБУЗ ""Стоматологическая поликлиника №3"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","102","145 067,62"
"07039","ГБУЗ ""Детский лечебно-реабилитационный центр г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","806","3 806 303,16"
"07039","ГБУЗ ""Детский лечебно-реабилитационный центр г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","226","1 065 976,04"
"07039","ГБУЗ ""Детский лечебно-реабилитационный центр г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","58","279 394,22"
"07039","ГБУЗ ""Детский лечебно-реабилитационный центр г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","28","128 380,96"
"07050","ГБУЗ ""Городская поликлиника № 22 г. Краснодар"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 874","636 682,26"
"07050","ГБУЗ ""Городская поликлиника № 22 г. Краснодар"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 126","157 134,02"
"07050","ГБУЗ ""Городская поликлиника № 22 г. Краснодар"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","456","93 133,64"
"07050","ГБУЗ ""Городская поликлиника № 22 г. Краснодар"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","584","65 409,38"
"07052","ГБУЗ ""Краевая клиническая больница скорой медицинской помощи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","51 036","167 443 062,80"
"07052","ГБУЗ ""Краевая клиническая больница скорой медицинской помощи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","15 540","46 966 675,68"
"07052","ГБУЗ ""Краевая клиническая больница скорой медицинской помощи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","3 772","12 994 589,30"
"07052","ГБУЗ ""Краевая клиническая больница скорой медицинской помощи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","3 184","11 153 523,10"
"07054","ГБУЗ ""Городская клиническая больница № 1 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 756","26 962 165,40"
"07054","ГБУЗ ""Городская клиническая больница № 1 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 788","9 540 790,18"
"07054","ГБУЗ ""Городская клиническая больница № 1 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","618","2 942 376,36"
"07054","ГБУЗ ""Городская клиническая больница № 1 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","326","1 606 941,72"
"07055","ГБУЗ ""Городская клиническая больница № 3 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 534","38 414 490,14"
"07055","ГБУЗ ""Городская клиническая больница № 3 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","3 288","12 993 016,28"
"07055","ГБУЗ ""Городская клиническая больница № 3 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","502","2 197 778,86"
"07055","ГБУЗ ""Городская клиническая больница № 3 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","752","3 840 809,82"
"07058","ГБУЗ ""Старокорсунская УБ"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 034","1 297 399,82"
"07058","ГБУЗ ""Старокорсунская УБ"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","3 600","1 892 671,06"
"07058","ГБУЗ ""Старокорсунская УБ"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","68","3 931,18"
"07058","ГБУЗ ""Старокорсунская УБ"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","94","8 894,14"
"07059","ГБУЗ ""Городская больница № 2 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","11 666","6 194 490,50"
"07059","ГБУЗ ""Городская больница № 2 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","3 688","1 042 201,98"
"07059","ГБУЗ ""Городская больница № 2 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","524","196 094,58"
"07059","ГБУЗ ""Городская больница № 2 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","394","376 588,68"
"07068","ГБУЗ ""Детская городская клиническая больница г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","269 276","257 227 853,04"
"07068","ГБУЗ ""Детская городская клиническая больница г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","38 022","36 968 769,42"
"07068","ГБУЗ ""Детская городская клиническая больница г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","30 292","28 990 000,12"
"07068","ГБУЗ ""Детская городская клиническая больница г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","31 876","28 871 320,48"
"07072","ГБУЗ ""Детская городская стоматологическая поликлиника № 2 г. Краснодара "" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 622","3 377 652,46"
"07072","ГБУЗ ""Детская городская стоматологическая поликлиника № 2 г. Краснодара "" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 094","676 565,44"
"07072","ГБУЗ ""Детская городская стоматологическая поликлиника № 2 г. Краснодара "" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","162","87 982,10"
"07072","ГБУЗ ""Детская городская стоматологическая поликлиника № 2 г. Краснодара "" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 378","727 150,14"
"07077","ГБУЗ ""Родильный дом г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","14 552","28 945 798,56"
"07077","ГБУЗ ""Родильный дом г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","6 482","10 988 487,36"
"07077","ГБУЗ ""Родильный дом г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 784","2 771 144,96"
"07077","ГБУЗ ""Родильный дом г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","866","1 702 140,92"
"07078","ГБУЗ ""Городская поликлиника № 1 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 758","697 005,40"
"07078","ГБУЗ ""Городская поликлиника № 1 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","7 408","1 054 221,56"
"07078","ГБУЗ ""Городская поликлиника № 1 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","296","0,00"
"07078","ГБУЗ ""Городская поликлиника № 1 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","632","19 122,68"
"07080","ГБУЗ ""Городская поликлиника № 3 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","14 804","1 547 890,94"
"07080","ГБУЗ ""Городская поликлиника № 3 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","6 856","587 995,24"
"07080","ГБУЗ ""Городская поликлиника № 3 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","344","39 299,26"
"07080","ГБУЗ ""Городская поликлиника № 3 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 248","83 691,84"
"07081","ГБУЗ ""Городская поликлиника №4 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 460","1 178 706,52"
"07081","ГБУЗ ""Городская поликлиника №4 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","4 222","608 727,50"
"07081","ГБУЗ ""Городская поликлиника №4 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","224","2 660,00"
"07081","ГБУЗ ""Городская поликлиника №4 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","272","20 752,90"
"07082","ГБУЗ ""Городская поликлиника № 5 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","11 012","1 814 332,40"
"07082","ГБУЗ ""Городская поликлиника № 5 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","4 790","979 212,86"
"07082","ГБУЗ ""Городская поликлиника № 5 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","964","126 971,32"
"07082","ГБУЗ ""Городская поликлиника № 5 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","744","122 494,20"
"07083","ГБУЗ ""Городская поликлиника № 13 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","39 248","5 520 572,80"
"07083","ГБУЗ ""Городская поликлиника № 13 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","2 816","175 978,38"
"07083","ГБУЗ ""Городская поликлиника № 13 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","2 614","330 262,46"
"07083","ГБУЗ ""Городская поликлиника № 13 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","882","85 829,78"
"07084","ГБУЗ ""Городская поликлиника № 14 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 146","1 558 339,12"
"07084","ГБУЗ ""Городская поликлиника № 14 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","2 576","557 088,48"
"07084","ГБУЗ ""Городская поликлиника № 14 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","448","68 166,64"
"07084","ГБУЗ ""Городская поликлиника № 14 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","710","118 203,32"
"07085","ГБУЗ ""Городская поликлиника № 15 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","14 954","2 864 285,70"
"07085","ГБУЗ ""Городская поликлиника № 15 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","9 012","2 001 555,06"
"07085","ГБУЗ ""Городская поликлиника № 15 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","460","131 432,54"
"07085","ГБУЗ ""Городская поликлиника № 15 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 060","208 385,48"
"07086","ГБУЗ ""Городская поликлиника № 16 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","10 740","861 518,02"
"07086","ГБУЗ ""Городская поликлиника № 16 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","3 716","293 129,78"
"07086","ГБУЗ ""Городская поликлиника № 16 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","3 258","0,00"
"07086","ГБУЗ ""Городская поликлиника № 16 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","474","34 820,12"
"07087","ГБУЗ ""Городская поликлиника № 17 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","28 504","4 305 013,74"
"07087","ГБУЗ ""Городская поликлиника № 17 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","3 116","352 559,78"
"07087","ГБУЗ ""Городская поликлиника № 17 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","524","75 941,78"
"07087","ГБУЗ ""Городская поликлиника № 17 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 600","227 604,42"
"07089","ГБУЗ ""Городская поликлиника № 7 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","10 330","2 398 302,38"
"07089","ГБУЗ ""Городская поликлиника № 7 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","9 618","2 321 299,64"
"07089","ГБУЗ ""Городская поликлиника № 7 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","450","63 149,54"
"07089","ГБУЗ ""Городская поликлиника № 7 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","326","21 247,42"
"07090","ГБУЗ ""Городская поликлиника № 9 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","15 878","4 963 950,60"
"07090","ГБУЗ ""Городская поликлиника № 9 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","9 404","3 208 671,88"
"07090","ГБУЗ ""Городская поликлиника № 9 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","744","122 796,12"
"07090","ГБУЗ ""Городская поликлиника № 9 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","650","203 468,16"
"07091","ГБУЗ ""Городская поликлиника №10 г.Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","14 448","1 534 428,08"
"07091","ГБУЗ ""Городская поликлиника №10 г.Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","3 322","350 126,18"
"07091","ГБУЗ ""Городская поликлиника №10 г.Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 018","119 397,02"
"07091","ГБУЗ ""Городская поликлиника №10 г.Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","468","51 556,84"
"07092","ГБУЗ ""Городская поликлиника № 11 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","15 358","2 940 333,40"
"07092","ГБУЗ ""Городская поликлиника № 11 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","3 914","771 878,40"
"07092","ГБУЗ ""Городская поликлиника № 11 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 252","226 736,80"
"07092","ГБУЗ ""Городская поликлиника № 11 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 456","280 672,12"
"07093","ГБУЗ ""Городская поликлиника № 12 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","15 824","1 678 998,16"
"07093","ГБУЗ ""Городская поликлиника № 12 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","2 946","548 148,64"
"07093","ГБУЗ ""Городская поликлиника № 12 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 124","150 312,20"
"07093","ГБУЗ ""Городская поликлиника № 12 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","620","83 112,04"
"07094","ГБУЗ ""Городская поликлиника № 19 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","13 978","2 946 265,06"
"07094","ГБУЗ ""Городская поликлиника № 19 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","3 936","650 852,26"
"07094","ГБУЗ ""Городская поликлиника № 19 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","2 564","376 788,18"
"07094","ГБУЗ ""Городская поликлиника № 19 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","386","39 020,88"
"07095","ГБУЗ ""Городская поликлиника № 23 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 672","1 117 405,82"
"07095","ГБУЗ ""Городская поликлиника № 23 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","15 666","3 464 104,86"
"07095","ГБУЗ ""Городская поликлиника № 23 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","432","110 981,26"
"07095","ГБУЗ ""Городская поликлиника № 23 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","268","45 647,00"
"07096","ГБУЗ ""Специализированная клиническая инфекционная больница"" МЗ КК г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 474","33 517 976,06"
"07096","ГБУЗ ""Специализированная клиническая инфекционная больница"" МЗ КК г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","972","8 627 259,64"
"07096","ГБУЗ ""Специализированная клиническая инфекционная больница"" МЗ КК г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","360","3 630 132,68"
"07096","ГБУЗ ""Специализированная клиническая инфекционная больница"" МЗ КК г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","332","2 384 130,88"
"07098","ГБУЗ ""Клинический онкологический диспансер №1"" МЗ КК г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","32 660","274 044 768,12"
"07098","ГБУЗ ""Клинический онкологический диспансер №1"" МЗ КК г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","6 708","47 314 480,18"
"07098","ГБУЗ ""Клинический онкологический диспансер №1"" МЗ КК г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","3 124","28 392 618,50"
"07098","ГБУЗ ""Клинический онкологический диспансер №1"" МЗ КК г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","3 970","32 289 454,70"
"07099","ГБУЗ ""НИИ-Краевая клиническая больница №1 им. проф. С.В.Очаповского"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","57 756","620 410 975,94"
"07099","ГБУЗ ""НИИ-Краевая клиническая больница №1 им. проф. С.В.Очаповского"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","7 822","77 148 316,12"
"07099","ГБУЗ ""НИИ-Краевая клиническая больница №1 им. проф. С.В.Очаповского"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","5 886","60 830 039,52"
"07099","ГБУЗ ""НИИ-Краевая клиническая больница №1 им. проф. С.В.Очаповского"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","7 372","74 598 987,18"
"07102","ЧУЗ ""Клиническая больница"" РЖД-Медицина"" г. Краснодар""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 178","5 216 109,06"
"07102","ЧУЗ ""Клиническая больница"" РЖД-Медицина"" г. Краснодар""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 096","951 148,86"
"07102","ЧУЗ ""Клиническая больница"" РЖД-Медицина"" г. Краснодар""","1707","Краснодарский филиал ООО ВТБ МС","572","1 173 801,36"
"07102","ЧУЗ ""Клиническая больница"" РЖД-Медицина"" г. Краснодар""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","188","295 164,82"
"07106","ГБУЗ ""Краевая больница №3"" МЗ КК г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","238","6 517 463,08"
"07106","ГБУЗ ""Краевая больница №3"" МЗ КК г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","50","1 423 125,04"
"07106","ГБУЗ ""Краевая больница №3"" МЗ КК г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","26","753 914,08"
"07106","ГБУЗ ""Краевая больница №3"" МЗ КК г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","24","509 732,34"
"07107","ГБУЗ ""Краевая клиническая стоматологическая поликлиника"" МЗ КК г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 862","7 562 136,94"
"07107","ГБУЗ ""Краевая клиническая стоматологическая поликлиника"" МЗ КК г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","612","2 420 240,68"
"07107","ГБУЗ ""Краевая клиническая стоматологическая поликлиника"" МЗ КК г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","162","680 310,60"
"07107","ГБУЗ ""Краевая клиническая стоматологическая поликлиника"" МЗ КК г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","174","849 196,50"
"07108","ГБУЗ ""Детская краевая клиническая больница"" МЗ КК г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","29 144","317 121 496,24"
"07108","ГБУЗ ""Детская краевая клиническая больница"" МЗ КК г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","4 432","45 480 703,82"
"07108","ГБУЗ ""Детская краевая клиническая больница"" МЗ КК г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","2 264","26 973 051,96"
"07108","ГБУЗ ""Детская краевая клиническая больница"" МЗ КК г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 264","30 773 644,28"
"07135","ГБУЗ ""Клинический кожно-венерологический диспансер"" МЗ КК г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","19 158","26 337 434,46"
"07135","ГБУЗ ""Клинический кожно-венерологический диспансер"" МЗ КК г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","2 542","3 653 471,18"
"07135","ГБУЗ ""Клинический кожно-венерологический диспансер"" МЗ КК г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","920","1 641 447,92"
"07135","ГБУЗ ""Клинический кожно-венерологический диспансер"" МЗ КК г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 756","3 652 898,60"
"07139","ГБУЗ ""Городская поликлиника № 27 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","29 014","3 164 264,16"
"07139","ГБУЗ ""Городская поликлиника № 27 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","6 298","151 339,78"
"07139","ГБУЗ ""Городская поликлиника № 27 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 414","132 664,88"
"07139","ГБУЗ ""Городская поликлиника № 27 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","17 622","1 675 745,58"
"07506","ФКУЗ ""МСЧ МВД России по Краснодарскому краю"" г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","250","347 954,66"
"07506","ФКУЗ ""МСЧ МВД России по Краснодарскому краю"" г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","138","82 846,02"
"07506","ФКУЗ ""МСЧ МВД России по Краснодарскому краю"" г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","20","80 442,30"
"07506","ФКУЗ ""МСЧ МВД России по Краснодарскому краю"" г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","12","8 954,90"
"07516","ГБУЗ ""Детская городская поликлиника № 4 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 056","1 445 721,02"
"07516","ГБУЗ ""Детская городская поликлиника № 4 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","7 476","1 010 027,58"
"07516","ГБУЗ ""Детская городская поликлиника № 4 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","230","32 662,92"
"07516","ГБУЗ ""Детская городская поликлиника № 4 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","306","50 558,94"
"07517","ГБУЗ ""Детская городская поликлиника № 9 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","7 988","551 247,82"
"07517","ГБУЗ ""Детская городская поликлиника № 9 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","6 508","431 996,90"
"07517","ГБУЗ ""Детская городская поликлиника № 9 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","260","22 431,26"
"07517","ГБУЗ ""Детская городская поликлиника № 9 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","278","23 902,34"
"07519","ГБУЗ ""Центр общественного здоровья и медицинской профилактики"" МЗКК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 078","1 153 348,32"
"07519","ГБУЗ ""Центр общественного здоровья и медицинской профилактики"" МЗКК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","382","414 713,88"
"07519","ГБУЗ ""Центр общественного здоровья и медицинской профилактики"" МЗКК","1707","Краснодарский филиал ООО ВТБ МС","32","33 332,12"
"07519","ГБУЗ ""Центр общественного здоровья и медицинской профилактики"" МЗКК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","46","49 952,48"
